가게명,카테고리,주소,리뷰
콩이네,종합분식,서울 광진구 긴고랑로9길 28,"떡볶퀸 유튜브에도 소개된 떡볶이(튀김) 맛집, ‘콩이네‘에 가보았습니다. 저는 사실 또또또간집인데요, 주변 사람들에게 꼭 가봐야한다며 자주 방문하는 곳입니다. 영업시간 월-금 : 12:20 ~ 17:30 토-일 : 휴무 평일에만 영업을 하는데요, 끝날 때 쯤 가면 튀김이 소진돼어 문을 일찍 닫으실 때가 많더라구요.. 5시전에 방문하시는 걸 추천드립니다. 메뉴와 가격은 이렇습니다. 계좌이체도 됩니다. 두 명이서 만원이 조금 넘게 시키면 배부르게 먹을 수 있는 가성비 시장 떡볶이집입니다. 이렇게 수기로 주문을 하면, 사장님이 튀김을 한번 더 튀겨주십니다. 비주얼 보이시죠?? 음식은 사진 속 저 곳 바로 앞에 앉아서 먹을 수 있는 간소한 테이블과 의자가 있습니다. 사장님이 너무 친절하셔서 더 좋았습니다. 튀김이 미미미친놈입니다. 제가 먹어본 튀김 중 감히 베스트라고 말할 수 있습니다. 떡볶이는 다른 곳에 비해서 삼삼한, 건강한 맛입니다. 튀김을 떡볶이 국물,야채와 함께 먹으면 정말정말정말 행복해요. 튀김 좋아하시는 분들은 살면서 무조건 맛봐야하는 튀김입니다. 꼭 가보시길!!! https://youtu.be/xRnpYsU9TUs?si=Sr5SuT0HMxzckpjX 떡볶퀸-콩이네분식"
서교동 진향,중식당,서울 마포구 월드컵북로1길 62,"중식을 먹고나서 이렇게 입과 속이 깔끔한 적은 처음입니다..! 어떤 요리를 추구하시는지가 먹으면서 단번에 느껴졌습니다 ! 재료들 정말 신선하고 깔끔하게 맛있구요 다음날 바로 또먹고싶단 생각이났어요 이럴거면 회원가입할걸… 다음번에 또다른 요리류 먹으러 진진에 방문해봐야겠어요😊
대화하기 좋아요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
5"
신세계떡볶이,떡볶이,서울 중구 명동9길 10,"마늘맛이 듬뿍 나는 신세계떡볶이! 달달한 맛이 매력적이었어요!!! 순대랑 오뎅국물 서비스까지 완벽했어요
음식이 맛있어요
이미지 수
3"
일등식당,해장국,서울 마포구 방울내로 82,"요즘같이 쌀쌀한 날씨엔 뜨끈한 해장국이 딱이다 마포구청역 근처에 가성비 좋은 뼈해장국집이 있다고 해서 찾아갔다 일등식당은 지하철 6호선 마포구청역 5번출구로 나와 걸어서 5분이면 도착할 수 있다 마포구청역과 망원역 사이에 위치하는데 마포구청역에서 더 가깝다 식당 앞 도착 평소에는 줄이 많이 서있는 곳인데 이른 식사 시간에 방문했더니 다행히 줄이 없었다 하지만 실내는 이미 만석이라 나부터 시작해서 뒤로 줄을 서게 되었다 정기 휴일은 매주 월요일이고 둘째주만 화요일을 추가해 월, 화를 쉰다 휴일 날짜가 큼직한 글자로 붙어 있어 알아보기 쉽다 메뉴는 해장국 단일 메뉴로 사이즈에 따라 기본 해장국 (8,000)과 특 해장국 (11,000)이 있다 기본적으로 양이 많은 편이라 보통을 시켜도 푸짐하다고 해서 나도 보통으로 주문했다 한가지 메뉴만으로 유명한 집이라니 이보다 더 믿음직한 메뉴판이 어디있을까 방송에서도 촬영을 해갔는지 벽에 여러 방송 장면이 붙어있었다 물은 셀프, 우거지 추가는 3,000원, 소스도 셀프 소스가 개인 테이블 위에 있는 것이 아니라 주방 앞 식탁 위에 따로 모여 있다 여기서 접시에 소스를 따라 자리로 가져가면 된다 정수기 옆으로는 앞치마가 비치되어 있음 해장국 (보통) - 8,000 주문하고 잠깐 소스를 가지러 다녀 온 사이에 벌써 해장국이 나왔다 역시 국밥은 한국인의 K패스트푸드~! 해장국은 보통인데도 그릇에 넘치도록 수북하게 담겨있다 기본 반찬은 깍두기와 김치 뼈 위에는 우거지가 올라가 있다 보통을 시켰는데도 양이 이렇게 넉넉한데 특은 대체 얼마나 클까 궁금해진다 우거지를 밀어내고 고기부터 먹어보았다 뼈가 얼마나 잘 삶아졌는지 젓가락을 대기가 무섭게 살이 술술 떨어진다 이가 안 좋은 어르신들이 드시기에도 전혀 부담없는 촉촉한 살로 고기도 실하게 두툼하다 국물은 무거운 뼈해장국 국물같지 않게 맑아서 맛이 아주 담백하고 깔끔하다 간이 자극적이지 않고 은은한 맛이라 계속 떠먹어도 전혀 느끼함이 없다 다시 두툼한 고기 한 점 발라먹을 고기가 어찌나 많은지 밥도 다 못 먹었는데 벌써 포만감이 느껴진다 뼈는 총 세 덩이가 들어 있었는데 하나같이 모두 고기가 실했다 참고로 포장은 보통 가격으로 특 사이즈를 준다 안그래도 가성비 좋은데 포장으로 먹으면 훨씬 가성비가 좋아진다 그래서인지 먹는 동안 포장 손님이 끊이질 않았는데, 포장 용기 값을 절약하기 위해 개인 냄비를 가져와서 포장을 해가는 손님들도 제법 많았다 나 같아도 가까운..."
우육면관,"우육면, 어향가지",서울특별시 종로구 종로7길 29-14,유투브에서 종로맛집으로  뽑히고 미슐랭 될만합니다 너무 맛있어요 재료도 좋고 고수마져 충실 만두까지 곁들어먹으면 완벽
전투떡볶이,종합분식,서울 관악구 관천로 55,"안녕하세요 비오는날 김치전 입니다 오늘은 신림에 위치한 전투떡볶이를 방문했습니다 전투떡볶이 2인분, 당면추가 1인분 6,000원 떡볶이 2인분 입니다 독특하게 순두부가 기본으로 들어가 있어요 떡볶이랑 순두부를 같이 먹는건 처음인데 의외로? 나쁘지 않았습니다 당면사리 2,000원 추가해서 먹었습니다 맛은 꾸떡한 느낌은 아니고 국물 떡볶이 입니다 맵지 않아서 매운거 좋아하시는 분들은 조금 아쉬우실수 있습니다 어묵 어묵탕 입니다 다른곳이랑 다르게 저 물떡을 같이주시는데 쫀득쫀득한게 상당히 별미에요 국물은 시원칼칼해서 소주를 부르는 맛 입니다 국물 더 달라고 하면 더 주십니다 칼오징어튀김 18,000원 오징어튀김 입니다 사실 저는 개인적으로 튀김이 튀김이지 특별할게 있나? 싶었는데 여긴 확실히 다르더라구요 입천장이 약한편이라 튀김 먹으면 여기저기 긁히고 아파서 튀김은 잘 안먹는데 여기 튀김은 튀김옷이 바삭바삭한데 얇아서 안아팠어요 다른 후기들 보니 떡볶이 집인데도 튀김에 대한 이야기가 더 많아서 의아했는데 여긴 튀김이 사기일정도로 맛있어요 방문하시면 튀김은 꼭 드세요 강추"
시라카와,이자카야,서울 강남구 선릉로161길 7,"첫 방문입니다! 친구랑 맛있는데서 저녁먹고싶어서 예약하고 방문했습니다. 만족스런 12월 저녁의 식사였습니다. 기회되면 또 방문할께요!
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기"
몽탄,"우대갈비, 짚불구이",서울특별시 용산구 백범로99길 50,우대갈비랑 비빔냉면 조합이 너무 좋았습니다 맛있지만 물려서 비냉 없음 큰일 나요!!
장블랑제리,"빵, 맘모스빵",서울특별시 관악구 낙성대역길 8,말해뭐해 유명한 빵집 장블랑제리. 쾌적하고 빵 만드는 것도 cctv로 다 보이게 해놓음. 그만큼 자신 있다는 의미같아서 좋음. 맘모스빵 부모님도 참 좋아하심.
평양면옥,평양냉면,서울특별시 중구 장충단로 207,자주 다니는 평양냉면집입니다. 혼자 방문하면 거의 줄 안서고 들어갈수잇어요. 그리고 국물이 깔끔하고 리필도 해주셔서 너무 좋습니다
편의방,중식당,서울 서대문구 연희로 36,"연희동 만두맛집으로 유명한 편의방. 먹킷리스트에 넣어놨다 오늘에야 방문했습니다. 군만두는 문자그대로 겉바속촉인데 속촉이 특히 남달라서 놀랐어요. 찐만두는 찐만두대로 부드럽고 담백하니 부추맛이 살아있어 풍미가 좋았구요. 짬뽕도 불향이 적당히 입혀진 국물에 해물도 푸짐하게 들어가 있어 의외의 복병이었습니다. 만두맛은 기대이상이었는데 사장님이 조금만더 친절하셨으면…
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
6"
란주칼면,"도삭면, 꿔바로우",서울특별시 중구 소공로 64,사람 진짜 많은데 의외로 웨이팅은 빨리 빠져요 박수칠 정도는 아니지만 웬만큼 맛있음
디템포레,양식,서울특별시 용산구 한남대로 37 1층,"지인과 함께 방문했습니다. 경의중앙선 배차를 도통 믿을 수 없어 차를 끌고 왔는데, 업장 전면에 두 대 주차할 공간이 있었네요. 저희는 런치 코스(70.)에 무알콜 메를로 칵테일(15.)과 레드 와인 글래스(23.)를 추가했습니다. 코스 가격대와 와인 레이블이 암시하듯, 본 업장은 진귀한 재료보다는 실속 있는 전개에 주안을 두고 있습니다. 사진에 볼멘 부연을 채웠긴 했습니다만... 값 대비 퍽 흡족한 구성이었습니다. 최근 인상된 값인데도 말이죠. 아직까지도 오리 가슴살 맛이 떠오릅니다. 문젯거리는 음식이 아닌 건물입니다. 정시에 도착했음에도 룸은 싸늘했고, 식후에 간 화장실은 실로 냉골이었습니다. 라디에이터 문제였을까요? 문 근처에도 자리가 있던데, 행여 그쪽에 앉게 될 내객이 우려되는 추위였습니다.
특별한 메뉴가 있어요
이미지 수
16"
월래순 교자관,"만두, 군만두",서울특별시 구로구 디지털로19길 12,너무 맛있고 가성비도 좋아요! 믿고먹는 최자로드맛집이에요
그랜드하얏트서울 테판,퓨전음식,서울특별시 용산구 소월로 322 그랜드 하얏트 서울,"모든 코스 구성이 알차고 훌륭했습니다! 셰프님 뿐만 아니라 식사 내내 세심하게 신경써주시는 스텝 분들 덕분에 기분 좋게 식사하고, 행복한 시간 보냈습니다! 시즌별로 제철 재료들로 메뉴 선정해주시는것도 넘 마음에 들어요 :)
친절해요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
9"
약수순대국,"순대,순댓국",서울 중구 동호로7길 14,"설렁탕 같은 순대국, 색다른 매력 단맛 강한 깍두기가 새콤한 뒷맛과 함께 순대국과 훌륭히 어울립니다. 설렁탕을 연상시키는 색다른 국물 맛에 다대기가 어우러져 얼큰한 매력을 더합니다. 밥이 말아져 나와 국밥의 헤리티지를 보여주며, 새우젓을 더하면 풍미가 배가됩니다. 순대는 분식집에서 볼 법한 당면순대 스타일로 다소 성의 없어 보이지만, 부속 고기는 큼지막하고 단단한 식감이 매력적입니다. 기름기를 잘 제거해 끝맛이 깔끔하고 기분 좋습니다. 순대국이 기존 범주를 벗어나 새로운 스타일로 접근해 반감을 줄 수도 있지만, 독창성과 조화로운 맛으로 성공적이라 평가됩니다. 깍두기의 조화도 인상적이며, 국물은 따뜻하고 풍성합니다. 특히 사장님의 따뜻한 말 한마디가 음식과 더불어 온기를 더해줍니다.
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
꿉당,"육류,고기요리",서울특별시 서초구 강남대로 615 1층,"엄청난 웨이팅을 뚫고 먹은 미슐랭 고깃집 역시나 고기도 쫄깃하고 구워줘서 육즙도 살려서 촉촉하고 맛있습니다 꿉살은 솔드아웃으로 못 먹고 전부 1인분씩 주문해서 먹었습니다 반찬도 가짓수가 많은 게 아니고 고기와 딱 먹기 좋은 것들로만 적당히 차려져 있어서 깔끔해요 밥도 따로 간이 되어있어서 밥 자체도 맛있고 고슬고슬하니 고기와 먹었을 때 시너지 폭발해요 그리고 트러플 짜파게티가 진짜 맛있어요 짜파게티에 파김치가 아니라 앞으로 트러플입니다 직접 앞에서 트러플을 갈아줘서 쇼도 보는 재미도 있고 웨이팅은 한시간 반 했지만 꽤나 괜찮은 고기와 사이드 메뉴였어요
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
11"
김인복의광평 삼성본점,"육류,고기요리",서울 강남구 영동대로106길 45,"1년쯤 전에 친구랑 너무 맛있게 먹었던 기억이 있어요 이번에 캐치테이블 예약 실패해서 웨이팅 실패할수도 있겠다 싶었지만 일요일 저녁이라그런지 바로 입장 가능했습니다 고기가 정말 너무너무 맛있어요 고소 육즙 쫀득 정말.. 남편도 너무 맛있게 먹었구요 최근에 먹었던 소고기보다 훨-씬 더 맛있었어요 그건 30만원이 넘는거였는뎋ㅎ... 이거나 먹으러올걸... 너무 맛있어서 2인분 더 추가했다가 배불러서 골동면 냄기고나왔어요ㅠ 고기 추가했을때 바로 안구워주셔서 흐름이 약간 끊겼는데 구워주시는분이 깜빡하셨나봐요 근데 죄송하다며 돔베고기를 서비스로 내어주셨어요 정말 감사했습니다 오히려 더 좋은 기억으로 남았어요 서비스가 정말 너무 좋아서 먹다보니 오히려 가격이 저렴하다고 느껴졌어요! 즐거운 기억 가지고갑니다 감사합니다
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
편의방,중식당,서울 서대문구 연희로 36,"눈이오고 길이 ,날이 굳어서 다행?인가 싶을 정도로 완전 감사한날입니다 웨이팅은 기본이라든디 가자마자 의자보고 더긴장함 ㅋㅋ 의자가 너무 말해주는듯 여기왔는데 오징어튀김을 먹지 않으면 안될거 같은 아니 안됨 술 안먹어도 오징어임 무조건 오징어 튀김은 강추 강추 강강추 ㅎㅎ 잘먹고 갑니다 맛집추가요< 누구말 듣고 오길 잘함아주 잘함
친절해요+3
개의 리뷰가 더 있습니다
펼쳐보기"
유래회관,소고기구이,서울 성동구 마장로 196,"간만에 갔더니 인테리어가 싹 바뀌어서 좀 더 신식 느낌이 났고 원래 맛집이였지만 예전보다 더 맛있었어요 등심 주문했는데 살치살 먹는 기분이랄까요? 고기도 맛있게 구워주시고 친절하고 매장도 화장실도 주차까지 깔끔해요!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
바다식당,"찌개,전골",서울 용산구 이태원로 245,"한남동 바다식당 존슨탕 소고기쏘세지 존슨탕 간이 슴슴하고 양배추가 많아서 좋아요 자극적이지 않은 바다식당이라 너무 좋은걸요 계란은 1인 1ea씩 요리할수있고 된장 오이 부추가 존슨탕이랑 너무 잘어울려요 소고기쏘세지도 자극적이지 않아서 손이 계속 가던 머스타드랑 찰떡이에요 겨자나 와사비랑 먹으면 더 맛있을 것 같던 다음엔 소맥과 함께 즐기겠어요
음식이 맛있어요
이미지 수
4"
농민백암순대,"순대국, 국밥",서울특별시 강남구 선릉로86길 40-4,정말 맛있는데 웨이팅때문에 힘든 곳이예요. 정식에 나오는 수육과 순대가 최곤데 1시 이후에 가면 안팔음... 그래도 순대국으로 만족. 냄새 하나도 안나고 고기랑 순대 꽤 많이 들어있어요. 밥이 찰기있고 진짜 맛있음. 동네주민이라면 빠른 포장 추천함
온지음 레스토랑,한식,서울특별시 종로구 효자로 49 4층,"전통주페어링이 매력적인 온지음✨ 가을에 방문해서 완벽한 뷰에 음식들도 다 괜찮았어요! 다른 다이닝에서 맛볼 수 없는 전통음식과 전통주 페어링이 인상적이라 한번쯤 와봐야하는 특별한 다이닝이었어요🥰 경복궁 앞 운치있는 분위기에 친구랑 너무 좋은시간 보냈어요ㅎㅎ
인테리어가 멋져요+4
개의 리뷰가 더 있습니다
펼쳐보기"
소바마에,"우동,소바",서울 성동구 왕십리로4길 26-20,"소바장인 집이라해서 와보고 싶엇던곳이예요 국물 담백하고 면이 진짜 다르네요 추가로 시킨 새우튀김 맛있네요 후기보니 튀김이 그렇게 맛있다는데 담엔 둘이 와서 튀김까지 먹어봐야 겠음
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기"
크레이지카츠,돈가스,서울 마포구 포은로2나길 44,"10시 30분쯤가서 현장 웨이팅 등록했을때 2번이었고 11시 30분 입장했습니다 2인이서 한정메뉴 시켰어요 오늘의 카츠는 굴카츠였는데 굴 못드시는분들은 향이 강하다고 하니 힘들것같아요 그렇지만 굴 좋아하시는 분들께는 추천합니다(연인이 대신 먹음) 저는 6개 중에 톤토로카츠가 가장 인상적이었는데 고소하면서 부드러워서 참 맛있었어요 새우크림고로케는 새우를 좋아해서 기대했으나 살짝 많이 느끼했어요. 돈지루는 간도 적당하고 정말 맛있었어요. 후식과 카레동까지 생각보다 구성은 알찼고 전체적으로 보았을때(가격, 양등) 특별한 날 먹으면 더 좋을 듯 합니다
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
그랜드하얏트서울 테판,퓨전음식,서울특별시 용산구 소월로 322 그랜드 하얏트 서울,"크리스마스이브에 방문한 테판. 한해를 마무리하는 선물같은 시간이었어요!♥🎄🎁 FESTIVE 주제에 걸맞게 산해진미를 활용한 다양한 음식들..눈과 입이 정말 즐거웠어요. 캐비어 한통을 인심좋게 주셔서 캐비어 원없이 퍼먹는 진귀한 경험도 했네요 ㅎㅎ 마지막에 서프라이즈선물로 주신 미니백인척 하는 초콜릿까지! 감동의 연속🥰 <-테판을 못끊는 이유 ..
친절해요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
20"
MUOKI,프랑스음식,서울특별시 강남구 학동로55길 12-12 2층 무오키,"미슐랭 스타치고 비교적 저렴해서 찾아간 곳. 모든 음식이 시각적으로나 맛으로나 놀라움의 연속이었다.😳 부담스럽지 않은 선에서 친절하셨고 한우스테이크 변경해서 1인 16만원임에도 오히려 가성비가 좋다고 느낀 곳이다!☺️ 다만, 바 자리가 만드시는 모습 구경할 수 있어 좋았는데 의자 위치가 높아서 앉을때 당황스럽긴 했다.
비싼 만큼 가치있어요"
란주칼면,"도삭면, 꿔바로우",서울특별시 중구 소공로 64,"여기는 짜장면이 유명했지만
신기한 쯔란 양고기 도삭면이 있어서 시도해봤다.
그냥… 다른거 필요없고 이걸 시켜서 드시면 될 것 같다.
양꼬치 러버들에게 안성맞춤인 식사였다."
골목집,"오리고기, 오리불고기",서울특별시 영등포구 도림로139가길 11-1 1층 골목집,"허영만의 백반기행에 나온집이랍니다
세트구성이 좋았습니다.
2인세트 오리불고기+오감탕+볶음밥 세트 시켰는데  진심 술이 술술 들어갔습니다.
가벼운 옷차림의 지역주민도 많으시고 일부러 찿아온 분들도  대기도 계속 있었던 집이었습니다.
같이 나오는 오감탕 깊이가 있고 진짜 내공이 느껴지는 맛입니다ㅎㅎㅎ
 오리불고기로 살짝 달리고 오감탕에서 진하게 맛 음미하고 볶음밥 삭 -삭 긁어먹으면서 소주 반절내면 집가는길이 구름 위를 걷는 기분 그 자체^^..
세트구성도 너무 좋고 특히 저는 오감탕 먹고 반해서 다음엔 세트말고 단품시켜 수제비 왕창 넣고 먹고픈 문래맛집 이었습니다!"
스와니예,양식,서울특별시 서초구 반포대로39길 46,"연말기념으로 방문. 매장 분위기나 서비스는 당연히 좋았고 하나하나 예술작품을 보는 것처럼 눈과 입이 즐거운 시간이었음. 추천받은 와인과 코스 설명 들으며 먹다보니 4시간 후딱 지나감. 가장 기억에 남는 메뉴는 애호박젓국과 마지막에 나온 블랜디드티 (하나 사옴)
특별한 메뉴가 있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
서울케밥,터키음식,서울 용산구 새창로 181,가격에 비해 양도 실하고 속도 엄청 꽉차있어요. 진짜 여자 팔뚝만합니다. 이집의 킥은 소스예요. 소스가 미쳤음. 차치키소스 너무맛있어요.. 핫소스도 다른데서 못먹어본 맵달한맛이라 두개 번갈아서 발라먹으니 지루하지도 않음. 탄단지 최고인데 맛까지있다? 못참죠....집근처있었음 매일갈텐데
공일부엌,한식,서울 중구 만리재로 209,"서울역 근처 맛집 찾다가 들어갔는데 급작스럽게 찾은거 치고는 너무 맛있었어요. 반찬도 맛있고 내부말고 야외에 테이블이 3갠가 있어서 날씨 좋아서 밖에서 먹었는데 음식이 진짜 빨리나와요! 5분도 안됐는데 나온듯 한돈묵은지김치찜에 묵은지도 너무 맛있고 고기도 푸욱 익었어요 !! 불고기샐러드비빔밥은 외국인이나 아기들도 맛있게 먹을 수 있는 달달한 밥이에요. 김치찜이랑 궁합도 좋음 ♡ 두 명이 메뉴 3개 시키려다가 두 개 시키고 김치찜 존맛 이슈로 공기밥 하나 추가해먹었는데 배 터질뻔. 잡채랑 김치도 맛있었습니당! 좋은 한 끼 였어요
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
10"
진미식당,게요리,서울특별시 마포구 마포대로 186-6,"사진만 봐도 맛있는게 느껴지지 않나요?ㅎㅎ 화*당이랑 어디로 갈까 고민하다가 진미식당이 더 맛있다는 후기가 보여서 진미로 갔어요. 가게분들도 다 진철하시고 감태 리필도 됩니다. 양이 적다는 리뷰가 있지만, 꽃게도 크고 살이랑 알이 가득찬거 보면 가격이 비싸고만 할 수는 없을 것 같아요. 게장으로 배채울려면 그냥 무한리필 가시는게 맞는 듯. 많이 짜지 않아서 맛있게 잘 먹었어요!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
광화문 미진,"메밀국수, 냉메밀",서울특별시 종로구 종로 19,"더워져서 그런지 찾는분이 많았어요
냉모밀 육수가 깔끔하고 면빨도 탱글하니
맛있어요~"
하니칼국수,"칼국수, 알곤이탕",서울특별시 중구 퇴계로 411-15,"🍽️ 칼국수랑 회무침 다 맛있었어요

⭐️ 알곤이 칼국수는 나오자마자 곤이 다 건져두시길 완전 딱 좋게 조리 돼서 나오는데 그냥 놔두면 열 때문에 알이 더 익어서 퍽퍽해져요"
황생가칼국수,"칼국수,만두",서울특별시 종로구 북촌로5길 78,"굵고 탱탱한 면발은 식감을 살리고 감칠맛 팍 우러난 국물은 참 만족스럽습니다 ^^ 인기있고 사랑받는 식당들의 메뉴는 개성이 있는데 이곳 역시 수저를 바쁘게하는 국물이 매력포인트. 적김치와 백김치의 서브도 합격. 처음엔 칼국수 한그릇치곤 좀 비싸다 생각했으나 한그릇 잘비우고나니 이정도면 납득됩니다 ㅎㅎ 중장년층은 메인이요 젊은층도 많고 외국인들도 계속 방문하네요. 이른 저녁이라 한번에 입장후 맛있게 잘먹고 기분좋게 나왔습니다. 다음도 기대됩니다.
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
4"
유진식당,평양냉면,서울특별시 종로구 종로17길 40,"종로3가 탑골공원 후문의 유명한 냉면집인데 솔직히 주변에 술취한 어른신들이 많으셔서 호불호 갈릴만한 주변
분위기 이지만 음식은 맛있습니다."
맛이차이나,"짜장면, 탕수육",서울특별시 마포구 독막로 68,"근방에서 제일 고급스럽고 맛있는 중식맛집이에요 10년전부터 종종 갔는데, 맛도 변함없고 친절하셔서 너무 좋아요 짬뽕 국물 시원하고 맛있어요. 다른 메뉴들도 다 맛있고 게살스프 갈 때 마다 꼭 시켜요"
전통맛집,한식,서울 중구 창경궁로7길 10,을지로 숨은 맛집.
밍글스,한식,서울특별시 강남구 도산대로67길 19 힐탑빌딩 2층,"장트리오가 제일 기억에 남았어요. 코스별 음식들은 다 정성스러움이 보이고 맛있었습니다. 다만 금액대가 큰 만큼 음식 뿐만이 아니라 서비스나 분위기도 기대하게 되는게 있는데 일부 직원분들 응대가 좀 매끄럽지 못했던 부분이 살짝 아쉬움으로 남네요
아늑해요+4
개의 리뷰가 더 있습니다
펼쳐보기"
일흥콩나물국밥,국밥,서울 성북구 고려대로5길 77,"음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
1"
돈불리제담,한식,서울 강남구 압구정로2길 46,"고기국수와 돔베고기 맛집입니다. 블루리본의 이유가 맛으로 설명됩니다. 제주도에서 먹는 고기국수 그맛입니다. 이집 고기는 제주도 직송 고기만을 사용한다니 믿음이 가고, 고기국수 9000원인데 가격도 착하고 반찬으로 나오는 상추 겉절이도 너무 맛있습니다. 계란 후라이는 셀프이고 붐비는 시간엔 웨이팅 감안하셔야 합니다.
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
6"
손가네곰국수,한식,서울 성북구 성북로15길 8,"늘 설렁탕만 먹다 곰국시 주문해 봤는데 정말 슴슴 깔끔! 밥이 없어 아쉬울 줄 알았는데 바닥까지 싹싹 설거지하고 나왔네요. 추운 날 뜨끈하게 먹고 만족했습니다
매장이 청결해요+2
개의 리뷰가 더 있습니다
펼쳐보기"
고다이 한남본점,양갈비,서울 용산구 한남대로18길 28,"콜키지무료가 아닌 날 오픈시간에 매장에 와인을 들고 갔는데 5:30분까지는 주류 한 병 무료로 먹을 수 있다고 해서 뜻밖의 행복을 느꼈습니다 ㅎㅎ 매장 분위기도 너무 좋았고 직원분들이 고기를 잘 구워주셔서 맛있게 잘 먹었습니다!
인테리어가 멋져요+4
개의 리뷰가 더 있습니다
펼쳐보기"
남경막국수,"막국수, 들깨",서울특별시 송파구 석촌호수로 74 잠실엘타워1층 남경막국수,남경막국수 잠실점. 들기름 막국수 진하고 풍부한 맛 좋다. 양도 적지 않아 자주 가고싶다
우래옥,냉면,서울 중구 창경궁로 62-29,평양냉면 대표 맛집으로 유명한 우래옥 다녀 왔어요  평일 오후 5시 겨울인데도 불구하고 웨이팅이 길었어요  대표메뉴인 물냉면으로 주문했고 다른 테이블은 불고기와 육회도 많이 주문하셨습니다  육수 부터 마셔봤는데 역시 찐한 육향이 좋았고 간도 좋았고 백김치가 들어가 메밀면과 잘 어울렸어요  고명으로 올라간 고기도 육향 가득 질기지 않았습니다  면의 양도 굉장히 많고 공깃밥을 추가해서 냉면에 밥도 말아 먹고 곰탕 국물을 주셔서 든든하게 먹기 좋았습니다  후추를 별도로 요청하면 가져다 주시니 추가해서 먹는걸 추천 드립니다  특히 냉면에 밥을 말아서 소고기와 함께 겉절이와 함께 먹는 맛은 최고에요  가격이 비싼편 이지만 그만큼 다른 평양냉면 집과는 달리 특별함이 매력적인 곳입니다  직원분들도 굉장히 친절 하셨습니다
코타 텍사스바베큐,패밀리레스토랑,서울 노원구 공릉로 165,"겁나 맛있음 먹물리조또 징짜!!! 꼭 시켜드세요!!! 감자튀김 소스도 맛잇고 인테리어~ 넘 예쁘규 주차도 편해서 너무 좋아요!!!
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
망원동즉석우동 본점,"우동,소바",서울 마포구 동교로 83,너무너무 좋아하는 가게에요. 우동이랑 돈까스랑 조합이 환상이에요~ 운이 좋아서 대기없이 바로 들어갔어요.럭키비키!! 매운우동을 처음 먹고 반해서 일주일에 한번씩 다니던 시절도 있었는데 그 때부터 한결같은 맛이라서 너무 감사해요!!
세석정,"곰탕,설렁탕",서울 서초구 강남대로10길 21,"국물이 슴슴하니 맛있어요. 고기도 신선하고 겨울에 딱이네요!
음식이 맛있어요+3
개의 리뷰가 더 있습니다
펼쳐보기"
